Date,Temp_C,Temp_min,Temp_max,HumRel_mean,n_hours,RadSWD_Wm2,Precip_mm,Wind_Spd_ms,WndDir
2009-06-29,9.192307692307693,8.55,9.600000000000001,79.46153846153847,13,22.727272727272727,14.4,8.59,NA
2009-06-30,7.395652173913043,6.25,9.1,83,23,NA,5,6.44,NA
2009-07-01,5.878260869565217,1.55,10.95,76.69565217391305,23,NA,0,5.1,NA
2009-07-02,8.152083333333334,6.4,10.4,86.29166666666667,24,NA,6.8,2.64,NA
2009-07-03,6.329166666666667,2.2,11.75,92.83333333333333,24,NA,0.2,1.66,NA
2009-07-04,8.041666666666666,6.05,10.25,94.20833333333333,24,NA,7.2,1.54,NA
2009-07-05,7.975,5.5,10.5,93.79166666666667,24,NA,1.2,1.99,NA
2009-07-06,6.416666666666667,2.2,11.350000000000001,91.91666666666667,24,NA,0.6,1.59,NA
2009-07-07,7.747916666666667,4.05,10.95,90.125,24,NA,4.6,2.3,NA
2009-07-08,6.126086956521739,2.45,11.5,83.47826086956522,23,NA,0.8,2.79,NA
2009-07-09,3.7041666666666666,-0.7,10.05,85.41666666666667,24,NA,0,1.96,NA
2009-07-10,4.6625,0.85,9.25,85.41666666666667,24,NA,0.2,1.04,NA
2009-07-11,7.18125,6.5,8.05,82,24,NA,35.4,6.26,NA
2009-07-12,6.870833333333334,5.449999999999999,8.85,70.54166666666667,24,NA,0.2,8.23,NA
2009-07-13,2.6375,-2.25,7.949999999999999,85,24,NA,0,2.95,NA
2009-07-14,8.8125,6.25,11.649999999999999,87.08333333333333,24,NA,8.2,2.48,NA
2009-07-15,9.2625,7.5,13.3,91.79166666666667,24,NA,3.2,2.03,NA
2009-07-16,6.84375,4.800000000000001,10.05,98.79166666666667,24,NA,2.2,0.87,NA
2009-07-17,8.979166666666666,7.75,9.600000000000001,98.41666666666667,12,2.314814814814815,51.2,2.48,NA
2009-07-18,8.779166666666667,6.1,10.8,80.75,24,NA,1.2,5.66,NA
2009-07-19,9.80625,8.1,11.7,80.125,24,NA,0,6.63,NA
2009-07-20,7.53125,3,11.899999999999999,83.875,24,NA,0,2.81,NA
2009-07-21,10.79375,10.100000000000001,12.5,83.08333333333333,24,NA,2.6,5.21,NA
2009-07-22,9.458333333333334,5.3,13.35,81.91666666666667,24,NA,0,4.44,NA
2009-07-23,11.445833333333333,10.05,12.5,87.5,24,NA,7.4,6.42,NA
2009-07-24,5.79375,2.1,12.4,83.20833333333333,24,NA,7.4,3.47,NA
2009-07-25,3.1812500000000004,-1.25,9.3,82.375,24,NA,0.2,2.04,NA
2009-07-26,2.9895833333333335,-1.75,9.25,82.33333333333333,24,NA,0,1.76,NA
2009-07-27,2.810416666666667,-1.9,10.100000000000001,86.95833333333333,24,NA,0,1.31,NA
2009-07-28,8.045652173913043,4.699999999999999,10.45,89.91304347826087,23,NA,8,3.07,NA
2009-07-29,8.26875,5.2,10.45,89.45833333333333,24,NA,9,4,NA
2009-07-30,8.064583333333333,4.2,11.55,85.16666666666667,24,NA,0,2.93,NA
2009-07-31,10.3125,9.75,11.35,87.79166666666667,24,NA,0.6,4,NA
2009-08-01,11.408333333333333,10.4,12.899999999999999,86.83333333333333,6,44.90740740740741,10.6,3.47,NA
2009-08-02,8.55,8.25,8.850000000000001,82,2,69.82323232323232,3.4,3.78,NA
2009-08-03,7.36875,2.8,11.45,81,24,NA,0,3.17,NA
2009-08-04,9.1,5.45,11.4,81.29166666666667,24,NA,0.2,3.6,NA
2009-08-05,7.497916666666667,3.0500000000000003,12.2,79.75,24,NA,0,2.88,NA
2009-08-06,6.570833333333334,0.5,13.85,85.125,24,NA,0,1.38,NA
2009-08-07,6.514583333333333,2.7,13.600000000000001,89.66666666666667,24,NA,0,0.87,NA
2009-08-08,4.522916666666666,0.19999999999999998,11.85,90.04166666666667,24,NA,0.2,1.3,NA
2009-08-09,7.734210526315789,4.75,10.399999999999999,79.05263157894737,19,0,0,3.24,NA
2009-08-10,8.914583333333333,7.199999999999999,11.05,79.70833333333333,24,NA,0,4.2,NA
2009-08-11,8.7875,7.6499999999999995,10.600000000000001,92.83333333333333,24,NA,1.6,3.08,NA
2009-08-12,9.685416666666667,8.05,11.350000000000001,93.58333333333333,24,NA,0,2.95,NA
2009-08-13,10.875,10.35,11.65,94.66666666666667,24,NA,9,4.47,NA
2009-08-14,12.320833333333333,11.600000000000001,13.05,95.625,24,NA,62.4,8.62,NA
2009-08-15,11.98125,10.600000000000001,13.25,97.70833333333333,24,NA,20.2,4.1,NA
2009-08-16,10.30625,8.6,12.75,92.75,24,NA,11.6,2.29,NA
2009-08-17,9.758333333333333,3.9,15.4,82.16666666666667,24,NA,0,3.92,NA
2009-08-18,11.291666666666666,9.75,13.95,88.625,24,NA,4.2,2.45,NA
2009-08-19,8.439583333333333,7.75,9.8,89.25,24,NA,12.6,5.29,NA
2009-08-20,9.535416666666666,7.3,12.75,77.25,24,NA,0,3.89,NA
2009-08-21,9.889583333333334,6.15,14.649999999999999,76.91666666666667,24,NA,0,2.41,NA
2009-08-22,8.385416666666666,3.7,13.8,87.54166666666667,24,NA,0,1.25,NA
2009-08-23,10.777083333333334,9.65,12.85,87.20833333333333,24,NA,1.6,4.17,NA
2009-08-24,10.1625,8.1,12.899999999999999,87.16666666666667,24,NA,0.2,3.62,NA
2009-08-25,11.310416666666667,10.35,13.850000000000001,95.20833333333333,24,NA,5.6,5.87,NA
2009-08-26,11.464583333333334,9.4,14.45,84.5,24,NA,2.6,5.67,NA
2009-08-27,11.202083333333334,9.35,13.899999999999999,81.16666666666667,24,NA,0.6,7.18,NA
2009-08-28,11.885416666666666,9.75,14.7,83.20833333333333,24,NA,0,4.22,NA
2009-08-29,10.8125,6.550000000000001,14.45,90.75,24,NA,0.2,2.13,NA
2009-08-30,12.668750000000001,10.100000000000001,14.45,92.29166666666667,24,NA,22.6,8.11,NA
2009-08-31,9.352083333333333,5.45,12.25,86.875,24,NA,3.4,5.16,NA
2009-09-01,10.935416666666667,7.75,13.35,86,24,NA,0.2,4.16,NA
2009-09-02,8.541666666666666,4.2,13.95,75.5,24,NA,0,3.88,NA
2009-09-03,8.522916666666667,4.949999999999999,14.45,60.25,24,NA,0,5.3,NA
2009-09-04,5.4125,1.45,9.95,69.29166666666667,24,NA,0,4.79,NA
2009-09-05,7.13125,1.85,12.25,58.416666666666664,24,NA,0,4.87,NA
2009-09-06,7.01875,0.35000000000000003,15.35,77.83333333333333,24,NA,0,2.05,NA
2009-09-07,9.633333333333333,6.4,15.2,86.04166666666667,24,NA,0,1.77,NA
2009-09-08,9.491666666666667,3.75,16.1,88.20833333333333,24,NA,0,1.64,NA
2009-09-09,10.289583333333333,6.550000000000001,16.25,81.58333333333333,24,NA,0,1.78,NA
2009-09-10,10.991666666666667,8.8,13.4,86.91666666666667,24,NA,0.6,3.19,NA
2009-09-11,11.8,11.05,13.3,95.83333333333333,24,NA,4.8,5.73,NA
2009-09-12,12.795833333333334,12.05,15.65,95.45833333333333,24,NA,3.6,3.87,NA
2009-09-13,13.366666666666667,11.35,16.95,93.375,24,NA,0,1.91,NA
2009-09-14,11.8875,6.199999999999999,18.65,88.16666666666667,24,NA,0,2.14,NA
2009-09-15,12.072916666666666,8.55,16.85,83.70833333333333,24,NA,0,2.03,NA
2009-09-16,12.252083333333333,6.9,16.85,82.375,24,NA,0,2.11,NA
2009-09-17,13.8625,11.4,17.75,83.58333333333333,24,NA,0,2.34,NA
2009-09-18,12.295833333333334,9.45,16.05,78.41666666666667,24,NA,0,3.18,NA
2009-09-19,7.35625,3.95,10.9,78.875,24,NA,1,3.52,NA
2009-09-20,6.752083333333333,1.45,13.55,80.70833333333333,24,NA,0,1.59,NA
2009-09-21,9.79375,6.25,13.75,85.16666666666667,24,NA,1.2,1.98,NA
2009-09-22,11.447916666666666,9.600000000000001,15.3,80.625,24,NA,1.6,4.85,NA
2009-09-23,12.04375,9.55,15,94.66666666666667,24,NA,8,2.84,NA
2009-09-24,11.322916666666668,9.9,14.95,95.58333333333333,24,NA,30.8,2.95,NA
2009-09-25,11.41875,9.95,13.75,95.41666666666667,24,NA,18.6,2.03,NA
2009-09-26,9.472916666666666,3.6,14.2,88.16666666666667,24,NA,1.4,1.67,NA
2009-09-27,10.85,6.2,15.600000000000001,87.20833333333333,24,NA,0.2,2.87,NA
2009-09-28,10.370833333333334,6.9,13.45,96.58333333333333,24,NA,12.2,3.53,NA
2009-09-29,11.858333333333333,9.149999999999999,15.1,91.04166666666667,24,NA,12,4.7,NA
2009-09-30,11.325000000000001,7.95,14.100000000000001,88.125,24,NA,3,3.84,NA
2009-10-01,11.279166666666667,7.15,15.45,78.70833333333333,24,NA,0.2,4.61,NA
2009-10-02,13.970833333333333,13.100000000000001,15.5,83.33333333333333,24,NA,2.4,5.64,NA
2009-10-03,12.825,10.649999999999999,16.25,88.25,24,NA,3.4,3.62,NA
2009-10-04,7.441666666666666,3.75,14.05,90.25,24,NA,34.4,7.21,NA
2009-10-05,5.364583333333333,3.8,9.15,85.70833333333333,24,NA,15.8,4.93,NA
2009-10-06,5.9625,0.45,11.15,72.625,24,NA,0,4.05,NA
2009-10-07,7.6875,1.85,13.85,75.375,24,NA,0,3.33,NA
2009-10-08,10.335416666666667,8.4,12.1,82.5,24,NA,0,3.1,NA
2009-10-09,9.964583333333334,7.65,11.8,87.70833333333333,24,NA,18.4,4.65,NA
2009-10-10,6.183333333333334,0.19999999999999998,12.3,72.375,24,NA,0,4.63,NA
2009-10-11,11.333333333333334,7.8,15.100000000000001,73.66666666666667,24,NA,0,3.77,NA
2009-10-12,12.234375,9.8,15.05,77.5625,16,0,0,4.25,NA
2009-10-13,11.939583333333333,9.899999999999999,15.05,82,24,NA,0,3.92,NA
2009-10-14,14.029166666666667,13.25,15.3,92.45833333333333,24,NA,5.4,4.4,NA
2009-10-15,13.816666666666666,12.100000000000001,15.5,91.125,24,NA,17.8,5.28,NA
2009-10-16,13.945833333333333,11.7,16.8,83.25,24,NA,0.2,4.72,NA
2009-10-17,12.935416666666667,11,17.4,84.5,24,NA,8,5.37,NA
2009-10-18,9.558333333333334,5.25,13.8,81.75,24,NA,2.2,3.47,NA
2009-10-19,11.647916666666667,8.9,15.75,76.41666666666667,24,NA,0.4,3.46,NA
2009-10-20,7.829166666666667,1.6,13.7,77.75,24,NA,5,3.44,NA
2009-10-21,11.2,8.850000000000001,14.7,72.375,24,NA,0,4.51,NA
2009-10-22,11.75625,7.2,14,86.41666666666667,24,NA,2.6,4.09,NA
2009-10-23,8.98125,3.5999999999999996,14.9,72.79166666666667,24,NA,0,3.9,NA
2009-10-24,10.84375,5.95,15.8,77.45833333333333,24,NA,0,2.23,NA
2009-10-25,9.883333333333333,3.1,15.5,78.16666666666667,24,NA,0,2.15,NA
2009-10-26,13.639583333333333,11.899999999999999,17.15,84.20833333333333,24,NA,3.2,3.24,NA
2009-10-27,11.925,9.2,16.85,81.91666666666667,24,NA,7,4.24,NA
2009-10-28,12.710416666666667,8.15,18.25,76.66666666666667,24,NA,0.4,5.07,NA
2009-10-29,7.047916666666667,1.3,13.399999999999999,68.58333333333333,24,NA,0.4,4.14,NA
2009-10-30,9.83125,3.45,15.450000000000001,65.16666666666667,24,NA,0,4.42,NA
2009-10-31,10.85,3.9000000000000004,16.95,73.83333333333333,24,NA,0,2.71,NA
2009-11-01,13.577083333333334,10.350000000000001,18.35,77.33333333333333,24,NA,0,3.81,NA
2009-11-02,13.383333333333333,10.75,16.15,78.875,24,NA,0,4.88,NA
2009-11-03,12.877083333333333,6.3,18.85,79.25,24,NA,0,3.62,NA
2009-11-04,14.708333333333334,12.65,17,81.45833333333333,24,NA,0,4.32,NA
2009-11-05,13.866666666666665,9.1,17.65,80.625,24,NA,0.4,4.77,NA
2009-11-06,13.8,7.4,20.3,72.20833333333333,24,NA,0,3.22,NA
2009-11-07,11.952083333333333,4.949999999999999,17.700000000000003,74.54166666666667,24,NA,0,3.89,NA
2009-11-08,13.918750000000001,11,19.7,75.95833333333333,24,NA,0,4.1,NA
2009-11-09,11.177083333333334,4.7,16.7,67.20833333333333,24,NA,0,3.89,NA
2009-11-10,13.731250000000001,10.45,18.4,65.95833333333333,24,NA,0,4.69,NA
2009-11-11,10.209523809523809,2.65,15.55,76.0952380952381,21,NA,0,4.35,NA
2009-11-12,9.87,4.5,16.2,74.65,20,NA,0,3.33,NA
2009-11-13,10.80625,3.75,15.85,75.08333333333333,24,NA,0,4.24,NA
2009-11-14,13.160416666666666,10.25,17.3,70.5,24,NA,0,5.65,NA
2009-11-15,14.441666666666666,11,16.8,81.95833333333333,24,NA,0.8,6.26,NA
2009-11-16,12.729166666666666,10.2,16.15,74.45833333333333,24,NA,0,6.77,NA
2009-11-17,14.38125,11.4,17.1,84.83333333333333,24,NA,7.2,4.69,NA
2009-11-18,13.24375,8.05,17.95,87.125,24,NA,7,3.7,NA
2009-11-19,13.479166666666668,8.95,18.75,80.41666666666667,24,NA,0,3.44,NA
2009-11-20,14.114583333333334,11.1,17.799999999999997,80.29166666666667,24,NA,0,4.93,NA
2009-11-21,16.63125,15,19,88.375,24,NA,0.4,4.86,NA
2009-11-22,16.50208333333333,13.1,20.7,85.54166666666667,24,NA,0,3.14,NA
2009-11-23,18.245833333333334,14.3,22.950000000000003,79.875,24,NA,0,3.78,NA
2009-11-24,16.599999999999998,7.6,26,68.95833333333333,24,NA,0,3.66,NA
2009-11-25,15.452083333333334,11.6,20.450000000000003,68.25,24,NA,0,5.37,NA
2009-11-26,13.372916666666667,4.3,19.85,72.5,24,NA,0,5.56,NA
2009-11-27,15.485416666666667,11.45,20.950000000000003,72.25,24,NA,0,4.59,NA
2009-11-28,16.375,15.25,19.1,91.45833333333333,24,NA,3.2,3.75,NA
2009-11-29,15.635416666666666,10.2,21.6,76.79166666666667,24,NA,0,3.59,NA
2009-11-30,16.808333333333334,15.05,17.9,94.08333333333333,24,NA,2.6,2.93,NA
2009-12-01,17.85625,16.75,19.6,94.16666666666667,24,NA,4.6,3.99,NA
2009-12-02,16.35625,13.3,19.5,92.45833333333333,24,NA,25.6,2.44,NA
2009-12-03,12.8625,10.6,18.65,80.29166666666667,24,NA,3.2,2.56,NA
2009-12-04,11.729166666666666,10.15,14.399999999999999,89.45833333333333,24,NA,11.6,1.89,NA
2009-12-05,14.91875,11.350000000000001,18.8,82.54166666666667,24,NA,0.2,2.6,NA
2009-12-06,15.802083333333334,11.3,18.95,78,24,NA,1,4.17,NA
2009-12-07,14.497916666666667,7.6,20.799999999999997,79.375,24,NA,0,3.72,NA
2009-12-08,16.041666666666668,10.2,20.75,82.79166666666667,24,NA,0,3.41,NA
2009-12-09,17.04375,9.85,23.1,75.91666666666667,24,NA,0,3.74,NA
2009-12-10,18.5125,10.3,25.3,77.16666666666667,24,NA,0,2.3,NA
2009-12-11,19.377083333333335,17.85,22.25,87.45833333333333,24,NA,0,4.2,NA
2009-12-12,15.277083333333334,9.2,19.85,78.75,24,NA,1.2,5.17,NA
2009-12-13,16.69375,14.8,19.75,78.875,24,NA,3.2,5.56,NA
2009-12-14,14.935416666666667,8.3,20.25,75.79166666666667,24,NA,2.2,5.27,NA
2009-12-15,12.0375,7.9,17.1,80.04166666666667,24,NA,7,3.17,NA
2009-12-16,12.66875,6.6,16.65,74.45833333333333,24,NA,0,3,NA
2009-12-17,14.777083333333334,8.7,21.1,76.66666666666667,24,NA,0,2.78,NA
2009-12-18,15.502083333333333,9.15,20.450000000000003,77.04166666666667,24,NA,0,5.01,NA
2009-12-19,18.685416666666665,15.95,22.450000000000003,76.95833333333333,24,NA,0,4.83,NA
2009-12-20,14.585416666666667,8.35,20.299999999999997,69.91666666666667,24,NA,0,5.9,NA
2009-12-21,14.88125,10.15,19.6,68.54166666666667,24,NA,0,2.71,NA
2009-12-22,15.602083333333333,12.6,18.950000000000003,84.54166666666667,24,NA,0,3.25,NA
2009-12-23,16.460416666666667,12.5,20.1,83.75,24,NA,1,2.89,NA
2009-12-24,16.977083333333333,9.05,22.85,71.5,24,NA,0,2.49,NA
2009-12-25,17.65625,9.75,24.700000000000003,66.83333333333333,24,NA,0,2.33,NA
2009-12-26,18.43125,12.4,24.95,66.375,24,NA,0,4.03,NA
2009-12-27,18.679166666666667,15.75,21.5,76.75,24,NA,0,3.77,NA
2009-12-28,19.23125,17.35,23,91.125,24,NA,2.6,3.13,NA
2009-12-29,18.877083333333335,17.1,21.200000000000003,81.95833333333333,24,NA,0.6,5.28,NA
2009-12-30,14.691666666666666,8,20.9,65.375,24,NA,0,6.84,NA
2009-12-31,14.089583333333334,7.65,19.35,68.04166666666667,24,NA,0,4.24,NA
2010-01-01,16.49375,8.6,24.3,74.04166666666667,24,NA,0,4.26,NA
2010-01-02,17.195833333333333,10.55,22.15,76.66666666666667,24,NA,0,3.99,NA
2010-01-03,19.65625,17.7,23.6,79.54166666666667,24,NA,0.2,5.45,NA
2010-01-04,14.641666666666667,7.3999999999999995,19.700000000000003,69.83333333333333,24,NA,0.4,5.78,NA
2010-01-05,16.18541666666667,10.15,21.9,74.875,24,NA,0,2.85,NA
2010-01-06,17.854166666666668,14.6,22.450000000000003,78.25,24,NA,0,4.03,NA
2010-01-07,17.635416666666668,13.100000000000001,21.85,78.45833333333333,24,NA,0,4.13,NA
2010-01-08,13.53125,5.65,20.5,68.54166666666667,24,NA,0,5.21,NA
2010-01-09,14.185416666666667,6,21.1,68,24,NA,0,2.94,NA
2010-01-10,16.204166666666666,12.600000000000001,20.8,78.16666666666667,24,NA,8.8,4.5,NA
2010-01-11,13.060416666666667,6.15,18.700000000000003,73,24,NA,0,3.98,NA
2010-01-12,14.08125,9.2,20.6,77.83333333333333,24,NA,4.2,2.45,NA
2010-01-13,15.070833333333333,7.65,20.9,66.20833333333333,24,NA,0,3.43,NA
2010-01-14,17.09375,10.8,23.1,68.375,24,NA,0,3.38,NA
2010-01-15,19.335416666666667,15.65,24.3,65.79166666666667,24,NA,0,5.31,NA
2010-01-16,16.895833333333332,13.65,21.8,83.125,24,NA,3.2,2.07,NA
2010-01-17,17.56458333333333,14.2,21.700000000000003,85.125,24,NA,5.2,2.51,NA
2010-01-18,17.85,15.9,20.65,88.75,24,NA,0.4,2.53,NA
2010-01-19,18.15833333333333,14.15,21.65,89.375,24,NA,0,2.5,NA
2010-01-20,19.047916666666666,17.7,22.15,88.54166666666667,24,NA,8.8,6.23,NA
2010-01-21,17.035416666666666,14.65,20.95,96,24,NA,51.2,3.67,NA
2010-01-22,17.28125,15.2,20.8,84,24,NA,8.2,3.97,NA
2010-01-23,17.385416666666668,12.4,22.85,83.375,24,NA,3.4,3.33,NA
2010-01-24,17.716666666666665,12.3,21.75,83.875,24,NA,0,3.87,NA
2010-01-25,19.245833333333334,17.1,24.45,87.83333333333333,24,NA,0,2.99,NA
2010-01-26,17.583333333333332,12.8,22.1,87.70833333333333,24,NA,2.2,2.84,NA
2010-01-27,18.052083333333332,14.65,23.15,88,24,NA,14.8,2.07,NA
2010-01-28,19.170833333333334,15.6,23.95,82.70833333333333,24,NA,0.2,2.84,NA
2010-01-29,18.666666666666668,13.8,23.7,75.875,24,NA,0,2.66,NA
2010-01-30,19.09166666666667,17.25,21.65,85.75,24,NA,10.4,4.02,NA
2010-01-31,19.429166666666667,17.65,22.6,90.95833333333333,24,NA,50.6,3.75,NA
2010-02-01,20.10625,17.15,22.75,83.54166666666667,24,NA,2.4,2.58,NA
2010-02-02,19.0875,14.149999999999999,24.35,83.33333333333333,24,NA,0,2.6,NA
2010-02-03,18.84583333333333,15.15,22.549999999999997,80.83333333333333,24,NA,0,2.56,NA
2010-02-04,18.77916666666667,16.5,22.200000000000003,80.41666666666667,24,NA,0,2.64,NA
2010-02-05,19.141666666666666,16.35,23.6,81.375,24,NA,0,2.88,NA
2010-02-06,18.8625,15.5,22.65,81.95833333333333,24,NA,0,2.52,NA
2010-02-07,20.079166666666666,16.85,25.15,77.45833333333333,24,NA,0,2.03,NA
2010-02-08,19.2,16.95,23.299999999999997,83.5,24,NA,7.2,2.69,NA
2010-02-09,18.802083333333332,13.55,23.95,74.79166666666667,24,NA,0,3.28,NA
2010-02-10,19.072916666666668,16.25,23.25,78.79166666666667,24,NA,0,2.96,NA
2010-02-11,18.197916666666668,13.2,23.05,83.25,24,NA,2.6,2.69,NA
2010-02-12,20.133333333333333,18.25,22.9,82.70833333333333,24,NA,0.2,3.68,NA
2010-02-13,20.504166666666666,18.450000000000003,22.6,86.125,24,NA,3,5.27,NA
2010-02-14,19.829166666666666,17.049999999999997,24,81.125,24,NA,0,3.61,NA
2010-02-15,18.504166666666666,15.55,22.6,88.04166666666667,24,NA,5.4,1.9,NA
2010-02-16,17.754166666666666,16.95,20.5,96.58333333333333,24,NA,1.2,1.68,NA
2010-02-17,20.11875,18.15,23.65,91.66666666666667,24,NA,1,2.81,NA
2010-02-18,20.225,18.5,21.65,89.75,24,NA,0,2.33,NA
2010-02-19,17.777083333333334,12.65,22.75,76.58333333333333,24,NA,0,3.37,NA
2010-02-20,16.260416666666668,9.1,22.549999999999997,83.375,24,NA,0,2.29,NA
2010-02-21,18.939583333333335,16.5,23.65,81.79166666666667,24,NA,0,2.27,NA
2010-02-22,18.833333333333332,15.55,23.1,79.75,24,NA,0,2.45,NA
2010-02-23,18.608333333333334,16.299999999999997,21.7,82.375,24,NA,0,2.05,NA
2010-02-24,19.635416666666668,17.95,22.799999999999997,89.33333333333333,24,NA,0.4,3.24,NA
2010-02-25,16.875,10.350000000000001,21.65,88.375,24,NA,14.8,3.37,NA
2010-02-26,16.441666666666666,10.35,23.200000000000003,75.29166666666667,24,NA,0,2.92,NA
2010-02-27,17.514583333333334,14.3,22.5,77.70833333333333,24,NA,0,2.33,NA
2010-02-28,17.016666666666666,11.8,22.4,79.70833333333333,24,NA,0,1.99,NA
2010-03-01,18.722916666666666,16.45,22.15,83.58333333333333,24,NA,0,2.99,NA
2010-03-02,18.15625,14.8,21.85,81.125,24,NA,0.2,2.37,NA
2010-03-03,17.275,12.149999999999999,22.15,73.625,24,NA,0,3.85,NA
2010-03-04,17.027083333333334,9.8,24.3,73.75,24,NA,0,2.89,NA
2010-03-05,19.016666666666666,12,25.25,68.33333333333333,24,NA,0,2.43,NA
2010-03-06,15.9875,11.899999999999999,21,64.70833333333333,24,NA,0,4.88,NA
2010-03-07,14.539583333333333,8.25,18.6,68.625,24,NA,0,3.88,NA
2010-03-08,16.795833333333334,13.05,20.3,73.04166666666667,24,NA,0.2,2.3,NA
2010-03-09,17.25625,11.85,20.6,78.54166666666667,24,NA,0,1.44,NA
2010-03-10,18.37708333333333,10.649999999999999,24.3,73,24,NA,0,2.48,NA
2010-03-11,16.108333333333334,9.4,22.049999999999997,79.04166666666667,24,NA,0,4.62,NA
