Station,Date,Latitude,Longitude,Site,Wind_Spd_ms,VapPress,Tmin,Tmax,TempEarth10cm,SoilM,RH,Precip_mm,Radiation,PET,Baro_hPa,Month,Year,MD,Temp_C,RadSWD_Wm2,Source
27879,1960-01-01,-38.075,176.275,On Rotorua,NA,null,NA,NA,null,null,null,0,NA,null,NA,January,1960,2000-01-01,NA,NA,VCS - 27879 - On Rotorua
27879,1960-01-02,-38.075,176.275,On Rotorua,NA,null,NA,NA,null,null,null,0,NA,null,NA,January,1960,2000-01-02,NA,NA,VCS - 27879 - On Rotorua
27879,1960-01-03,-38.075,176.275,On Rotorua,NA,null,NA,NA,null,null,null,34,NA,null,NA,January,1960,2000-01-03,NA,NA,VCS - 27879 - On Rotorua
27879,1960-01-04,-38.075,176.275,On Rotorua,NA,null,NA,NA,null,null,null,1.2,NA,null,NA,January,1960,2000-01-04,NA,NA,VCS - 27879 - On Rotorua
27879,1960-01-05,-38.075,176.275,On Rotorua,NA,null,NA,NA,null,null,null,0,NA,null,NA,January,1960,2000-01-05,NA,NA,VCS - 27879 - On Rotorua
27879,1960-01-06,-38.075,176.275,On Rotorua,NA,null,NA,NA,null,null,null,27.3,NA,null,NA,January,1960,2000-01-06,NA,NA,VCS - 27879 - On Rotorua
27879,1960-01-07,-38.075,176.275,On Rotorua,NA,null,NA,NA,null,null,null,1.8,NA,null,NA,January,1960,2000-01-07,NA,NA,VCS - 27879 - On Rotorua
27879,1960-01-08,-38.075,176.275,On Rotorua,NA,null,NA,NA,null,null,null,0,NA,null,NA,January,1960,2000-01-08,NA,NA,VCS - 27879 - On Rotorua
27879,1960-01-09,-38.075,176.275,On Rotorua,NA,null,NA,NA,null,null,null,0,NA,null,NA,January,1960,2000-01-09,NA,NA,VCS - 27879 - On Rotorua
27879,1960-01-10,-38.075,176.275,On Rotorua,NA,null,NA,NA,null,null,null,0,NA,null,NA,January,1960,2000-01-10,NA,NA,VCS - 27879 - On Rotorua
27879,1960-01-11,-38.075,176.275,On Rotorua,NA,null,NA,NA,null,null,null,0,NA,null,NA,January,1960,2000-01-11,NA,NA,VCS - 27879 - On Rotorua
