Station,Date,Latitude,Longitude,Site,WindSpeed,VapPress,Tmin,Tmax,TempEarth10cm,SoilM,RH,Rain,Radiation,PET,MSLPress
27879,1/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,2/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,3/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,34,null,null,null
27879,4/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,1.2,null,null,null
27879,5/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,6/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,27.3,null,null,null
27879,7/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,1.8,null,null,null
27879,8/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,9/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,10/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,11/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,12/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,13/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,14/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,18.2,null,null,null
27879,15/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,16/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,17/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,18/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,19/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,20/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,21/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,22/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,23/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,0,null,null,null
27879,24/01/1960,-38.075,176.275,On Rotorua,null,null,null,null,null,null,null,8.9,null,null,null
