Station,Date,WindSpeed,VapPress,Tmin,Tmax,TempEarth10cm,SoilM,RH,Rain,Radiation,PET,MSLPress
27879,1960-01-01,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-02,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-03,null,null,null,null,null,null,null,34,null,null,null
27879,1960-01-04,null,null,null,null,null,null,null,1.2,null,null,null
27879,1960-01-05,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-06,null,null,null,null,null,null,null,27.3,null,null,null
27879,1960-01-07,null,null,null,null,null,null,null,1.8,null,null,null
27879,1960-01-08,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-09,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-10,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-11,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-12,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-13,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-14,null,null,null,null,null,null,null,18.2,null,null,null
27879,1960-01-15,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-16,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-17,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-18,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-19,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-20,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-21,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-22,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-23,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-24,null,null,null,null,null,null,null,8.9,null,null,null
27879,1960-01-25,null,null,null,null,null,null,null,2,null,null,null
27879,1960-01-26,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-27,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-28,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-29,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-30,null,null,null,null,null,null,null,0,null,null,null
27879,1960-01-31,null,null,null,null,null,null,null,0,null,null,null
27879,1960-02-01,null,null,null,null,null,null,null,0,null,null,null
27879,1960-02-02,null,null,null,null,null,null,null,41.8,null,null,null
