"Date","MET_radswd","MET_radlwd","MET_cldcvr","MET_tmpair","MET_airmax","MET_airmin","MET_dewmax","MET_dewmin","MET_humrel","MET_tmpdew","MET_prvapr","MET_prsttn","MET_prmslp","MET_wndspd","MET_wnddir","MET_wnduvu","MET_wnduvv","MET_pprain","MET_ppsnow"
1990-01-01,75.344,366.657,1,16.002,0,0,0,0,97.741,15.644,17.779,97419.7,100686.078,1.434,204.004,-0.584,-1.31,12.821,0
1990-01-02,289.1,334.68,0.636,17.205,0,0,0,0,77.235,13.184,15.166,97237.5,100484.074,1.929,78.22,1.888,0.394,6.603,0
1990-01-03,275.931,325.565,0.679,15.9,0,0,0,0,78.472,12.16,14.181,96947.1,100198.796,2.44,105.02,2.357,-0.632,0.431,0
1990-01-04,122.238,337.024,1,14.513,0,0,0,0,88.905,12.704,14.696,96244.4,99488.299,3.04,118.98,2.659,-1.473,12.801,0
1990-01-05,287.809,299.376,0.657,14.133,0,0,0,0,67.011,8.097,10.808,96819.2,100086.845,1.887,40.253,1.219,1.44,3.03,0
1990-01-06,301.77,298.399,0.611,15.552,0,0,0,0,64.401,8.86,11.382,97769.9,101053.201,1.591,34.769,0.907,1.307,0.247,0
1990-01-07,283.405,312.721,0.659,15.562,0,0,0,0,72.401,10.617,12.804,97846.7,101132.456,2.319,80.329,2.286,0.39,0.083,0
1990-01-08,202.792,322.312,0.865,15.027,0,0,0,0,72.784,10.181,12.437,97482,100761.667,2.901,61.233,2.543,1.396,0.641,0
1990-01-09,226.537,333.431,0.805,14.781,0,0,0,0,82.677,11.863,13.905,97533.9,100818.153,0.639,265.842,-0.637,-0.046,6.622,0
1990-01-10,316.315,316.067,0.546,15.278,0,0,0,0,76.212,11.115,13.235,97369.9,100642.908,2.751,84.027,2.736,0.286,5.133,0
1990-01-11,335.495,309.036,0.476,15.072,0,0,0,0,71.921,10.045,12.325,96621.7,99871.917,4.444,63.253,3.969,2,0.004,0
1990-01-12,353.902,320.76,0.373,16.704,0,0,0,0,74.816,12.213,14.231,96386.4,99610.2,5.367,63.707,4.812,2.377,0.012,0
1990-01-13,261.416,342.942,0.707,16.984,0,0,0,0,75.69,12.661,14.656,96751.1,99983.931,3.401,72.919,3.251,0.999,0.009,0
1990-01-14,163.283,353.361,0.942,16.463,0,0,0,0,81.085,13.209,15.19,96965.8,100211.707,3.552,104.866,3.433,-0.911,0.882,0
1990-01-15,189.122,369.835,0.878,17.894,0,0,0,0,87.515,15.791,17.948,97353.3,100595.946,2.382,165.54,0.595,-2.307,3.964,0
1990-01-16,210.665,383.601,0.817,19.808,0,0,0,0,91.916,18.456,21.245,97062.6,100274.16,4.101,161.465,1.304,-3.888,13.147,0
1990-01-17,273.532,334.519,0.667,16.978,0,0,0,0,74.106,12.333,14.344,97121.4,100366.671,2.703,82.454,2.68,0.355,16.997,0
