Frequency [D/H],Data Type,Observation time UTC,Data Source,Radiation [MJ/m2],PERIOD [hrs]
D,Global,2015-09-25T11:59:00Z,D,15.41,24
D,Global,2015-09-26T11:59:00Z,D,18.21,24
D,Global,2015-09-27T10:59:00Z,D,21.29,24
D,Global,2015-09-28T10:59:00Z,D,15.07,24
D,Global,2015-09-29T10:59:00Z,D,20.11,24
D,Global,2015-09-30T10:59:00Z,D,12.42,24
D,Global,2015-10-01T10:59:00Z,D,17.44,24
D,Global,2015-10-02T10:59:00Z,D,12.07,24
D,Global,2015-10-03T10:59:00Z,D,15.03,24
D,Global,2015-10-04T10:59:00Z,D,16.95,24
D,Global,2015-10-05T10:59:00Z,D,24.14,24
D,Global,2015-10-06T10:59:00Z,D,24.27,24
D,Global,2015-10-07T10:59:00Z,D,23.73,24
D,Global,2015-10-08T10:59:00Z,D,15.21,24
D,Global,2015-10-09T10:59:00Z,D,22.62,24
D,Global,2015-10-10T10:59:00Z,D,17.17,24
D,Global,2015-10-11T10:59:00Z,D,22.85,24
D,Global,2015-10-12T10:59:00Z,D,17.16,24
D,Global,2015-10-13T10:59:00Z,D,13.65,24
D,Global,2015-10-14T10:59:00Z,D,15.12,24
D,Global,2015-10-15T10:59:00Z,D,23.87,24
D,Global,2015-10-16T10:59:00Z,D,25.13,24
D,Global,2015-10-17T10:59:00Z,D,22.05,24
D,Global,2015-10-18T10:59:00Z,D,15.63,24
D,Global,2015-10-19T10:59:00Z,D,19.11,24
D,Global,2015-10-20T10:59:00Z,D,25.32,24
D,Global,2015-10-21T10:59:00Z,D,20.07,24
D,Global,2015-10-22T10:59:00Z,D,9.69,24
D,Global,2015-10-23T10:59:00Z,D,17.07,24
D,Global,2015-10-24T10:59:00Z,D,8.82,24
D,Global,2015-10-25T10:59:00Z,D,25.2,24
D,Global,2015-10-26T10:59:00Z,D,20.17,24
D,Global,2015-10-27T10:59:00Z,D,23.71,24
D,Global,2015-10-28T10:59:00Z,D,16.5,24
D,Global,2015-10-29T10:59:00Z,D,8.4,24
D,Global,2015-10-30T10:59:00Z,D,19.73,24
D,Global,2015-10-31T10:59:00Z,D,19.05,24
D,Global,2015-11-01T10:59:00Z,D,23.68,24
D,Global,2015-11-02T10:59:00Z,D,27.21,24
D,Global,2015-11-03T10:59:00Z,D,14.35,24
D,Global,2015-11-04T10:59:00Z,D,4.78,24
D,Global,2015-11-05T10:59:00Z,D,20.37,24
D,Global,2015-11-06T10:59:00Z,D,29.16,24
D,Global,2015-11-07T10:59:00Z,D,29.52,24
D,Global,2015-11-08T10:59:00Z,D,29.1,24
D,Global,2015-11-09T10:59:00Z,D,28.31,24
D,Global,2015-11-10T10:59:00Z,D,26.13,24
D,Global,2015-11-11T10:59:00Z,D,27.29,24
D,Global,2015-11-12T10:59:00Z,D,15.06,24
D,Global,2015-11-13T10:59:00Z,D,30.75,24
D,Global,2015-11-14T10:59:00Z,D,28.59,24
D,Global,2015-11-15T10:59:00Z,D,7.52,24
D,Global,2015-11-16T10:59:00Z,D,4.22,24
D,Global,2015-11-17T10:59:00Z,D,28.45,24
D,Global,2015-11-18T10:59:00Z,D,29.05,24
D,Global,2015-11-19T10:59:00Z,D,24.22,24
D,Global,2015-11-20T10:59:00Z,D,7.61,24
D,Global,2015-11-21T10:59:00Z,D,13.61,24
D,Global,2015-11-22T10:59:00Z,D,21.77,24
D,Global,2015-11-23T10:59:00Z,D,32.49,24
D,Global,2015-11-24T10:59:00Z,D,32.25,24
D,Global,2015-11-25T10:59:00Z,D,29.99,24
D,Global,2016-01-21T10:59:00Z,D,30.58,24
D,Global,2016-01-22T10:59:00Z,D,31.13,24
D,Global,2016-01-23T10:59:00Z,D,25.69,24
D,Global,2016-01-24T10:59:00Z,D,29.7,24
D,Global,2016-01-25T10:59:00Z,D,27.87,24
D,Global,2016-01-26T10:59:00Z,D,18.56,24
D,Global,2016-01-27T10:59:00Z,D,15.32,24
D,Global,2016-01-28T10:59:00Z,D,13.39,24
D,Global,2016-01-29T10:59:00Z,D,15.53,24
D,Global,2016-01-30T10:59:00Z,D,26.19,24
D,Global,2016-01-31T10:59:00Z,D,23.11,24
D,Global,2016-02-01T10:59:00Z,D,19.61,24
D,Global,2016-02-02T10:59:00Z,D,25.12,24
D,Global,2016-02-03T10:59:00Z,D,27.92,24
D,Global,2016-02-04T10:59:00Z,D,14.93,24
D,Global,2016-02-05T10:59:00Z,D,9.36,24
D,Global,2016-02-06T10:59:00Z,D,11.84,24
D,Global,2016-02-07T10:59:00Z,D,23.3,24
D,Global,2016-02-08T10:59:00Z,D,16.66,24
D,Global,2016-02-09T10:59:00Z,D,8.48,24
D,Global,2016-02-10T10:59:00Z,D,16.75,24
D,Global,2016-02-11T10:59:00Z,D,19.99,24
D,Global,2016-02-12T10:59:00Z,D,27.99,24
D,Global,2016-02-13T10:59:00Z,D,23.35,24
D,Global,2016-02-14T10:59:00Z,D,27.38,24
D,Global,2016-02-15T10:59:00Z,D,13.53,24
D,Global,2016-02-16T10:59:00Z,D,13.15,24
D,Global,2016-02-17T10:59:00Z,D,5.3,24
D,Global,2016-02-18T10:59:00Z,D,6.56,24
D,Global,2016-02-19T10:59:00Z,D,15.9,24
D,Global,2016-02-20T10:59:00Z,D,19.65,24
D,Global,2016-02-21T10:59:00Z,D,26.91,24
D,Global,2016-02-22T10:59:00Z,D,22.85,24
D,Global,2016-02-23T10:59:00Z,D,7.51,24
D,Global,2016-02-24T10:59:00Z,D,24.59,24
D,Global,2016-05-10T11:59:00Z,D,7.59,24
D,Global,2016-05-11T11:59:00Z,D,2.42,24
D,Global,2016-05-12T11:59:00Z,D,4.71,24
D,Global,2016-05-13T11:59:00Z,D,9.87,24
D,Global,2016-05-14T11:59:00Z,D,10.65,24
D,Global,2016-05-15T11:59:00Z,D,9.1,24
D,Global,2016-05-16T11:59:00Z,D,6.77,24
D,Global,2016-05-17T11:59:00Z,D,10.57,24
D,Global,2016-05-18T11:59:00Z,D,3.41,24
D,Global,2016-05-19T11:59:00Z,D,6.14,24
D,Global,2016-05-20T11:59:00Z,D,7.85,24
D,Global,2016-05-21T11:59:00Z,D,5.77,24
D,Global,2016-05-22T11:59:00Z,D,8.79,24
D,Global,2016-05-23T11:59:00Z,D,5.25,24
D,Global,2016-05-24T11:59:00Z,D,3.04,24
D,Global,2016-05-25T11:59:00Z,D,6.65,24
D,Global,2016-05-26T11:59:00Z,D,9.46,24
D,Global,2016-05-27T11:59:00Z,D,4.6,24
D,Global,2016-05-28T11:59:00Z,D,6.33,24
D,Global,2016-05-29T11:59:00Z,D,5.28,24
D,Global,2016-05-30T11:59:00Z,D,8.45,24
D,Global,2016-05-31T11:59:00Z,D,6.43,24
D,Global,2016-06-01T11:59:00Z,D,8.51,24
D,Global,2016-06-02T11:59:00Z,D,10.1,24
D,Global,2016-06-03T11:59:00Z,D,10.39,24
D,Global,2016-06-04T11:59:00Z,D,10.11,24
D,Global,2016-06-05T11:59:00Z,D,10.11,24
D,Global,2016-06-06T11:59:00Z,D,10.02,24
D,Global,2016-06-07T11:59:00Z,D,7.04,24
D,Global,2016-06-08T11:59:00Z,D,6.26,24
D,Global,2016-06-09T11:59:00Z,D,3.47,24
D,Global,2016-06-10T11:59:00Z,D,2.89,24
D,Global,2016-06-11T11:59:00Z,D,6.83,24
D,Global,2016-06-12T11:59:00Z,D,4.27,24
D,Global,2016-06-13T11:59:00Z,D,9.94,24
D,Global,2016-06-14T11:59:00Z,D,6.73,24
D,Global,2016-06-15T11:59:00Z,D,7.95,24
D,Global,2016-06-16T11:59:00Z,D,5.01,24
D,Global,2016-06-17T11:59:00Z,D,7.47,24
D,Global,2016-06-18T11:59:00Z,D,7.47,24
D,Global,2016-06-19T11:59:00Z,D,7.83,24
D,Global,2016-06-20T11:59:00Z,D,8.37,24
D,Global,2016-06-21T11:59:00Z,D,3.1,24
D,Global,2016-06-22T11:59:00Z,D,1.56,24
D,Global,2016-06-23T11:59:00Z,D,2.99,24
D,Global,2016-06-24T11:59:00Z,D,8.26,24
D,Global,2016-06-25T11:59:00Z,D,1.45,24
D,Global,2016-06-26T11:59:00Z,D,5.24,24
D,Global,2016-06-27T11:59:00Z,D,5.24,24
D,Global,2016-06-28T11:59:00Z,D,7.76,24
D,Global,2016-06-29T11:59:00Z,D,1.46,24
D,Global,2016-06-30T11:59:00Z,D,4.26,24
D,Global,2016-07-01T11:59:00Z,D,10,24
D,Global,2016-07-02T11:59:00Z,D,10.52,24
D,Global,2016-07-03T11:59:00Z,D,10.31,24
D,Global,2016-07-04T11:59:00Z,D,10.02,24
D,Global,2016-07-05T11:59:00Z,D,8.21,24
D,Global,2016-07-06T11:59:00Z,D,9.46,24
D,Global,2016-07-07T11:59:00Z,D,3.42,24
D,Global,2016-07-08T11:59:00Z,D,3.38,24
D,Global,2016-07-09T11:59:00Z,D,5.55,24
D,Global,2016-07-10T11:59:00Z,D,7.04,24
D,Global,2016-07-11T11:59:00Z,D,8.99,24
D,Global,2016-07-12T11:59:00Z,D,10.78,24
D,Global,2016-07-13T11:59:00Z,D,7.01,24
D,Global,2016-07-14T11:59:00Z,D,8.26,24
D,Global,2016-07-15T11:59:00Z,D,4.4,24
D,Global,2016-07-16T11:59:00Z,D,9.42,24
D,Global,2016-07-17T11:59:00Z,D,9.71,24
D,Global,2016-07-18T11:59:00Z,D,9.95,24
D,Global,2016-07-19T11:59:00Z,D,5.26,24
D,Global,2016-07-20T11:59:00Z,D,9.97,24
D,Global,2016-07-21T11:59:00Z,D,9.86,24
D,Global,2016-07-22T11:59:00Z,D,6.07,24
D,Global,2016-07-23T11:59:00Z,D,7,24
D,Global,2016-07-24T11:59:00Z,D,8.66,24
D,Global,2016-07-25T11:59:00Z,D,8.32,24
D,Global,2016-07-26T11:59:00Z,D,4.66,24
D,Global,2016-07-27T11:59:00Z,D,6.63,24
D,Global,2016-07-28T11:59:00Z,D,4.75,24
D,Global,2016-07-29T11:59:00Z,D,7.79,24
D,Global,2016-07-30T11:59:00Z,D,6.5,24
D,Global,2016-07-31T11:59:00Z,D,6.54,24
D,Global,2016-08-01T11:59:00Z,D,9.78,24
D,Global,2016-08-02T11:59:00Z,D,12.79,24
D,Global,2016-08-03T11:59:00Z,D,3.44,24
D,Global,2016-08-04T11:59:00Z,D,4.03,24
D,Global,2016-08-05T11:59:00Z,D,4.47,24
D,Global,2016-08-06T11:59:00Z,D,7.11,24
D,Global,2016-08-07T11:59:00Z,D,8.84,24
D,Global,2016-08-08T11:59:00Z,D,13.63,24
D,Global,2016-08-09T11:59:00Z,D,14.03,24
D,Global,2016-08-10T11:59:00Z,D,5.65,24
D,Global,2016-08-11T11:59:00Z,D,8.43,24
D,Global,2016-08-12T11:59:00Z,D,8.43,24
D,Global,2016-08-13T11:59:00Z,D,5.51,24
D,Global,2016-08-14T11:59:00Z,D,13.76,24
D,Global,2016-08-15T11:59:00Z,D,13.86,24
D,Global,2016-08-16T11:59:00Z,D,12.54,24
D,Global,2016-08-17T11:59:00Z,D,15.31,24
D,Global,2016-08-18T11:59:00Z,D,15.39,24
D,Global,2016-08-19T11:59:00Z,D,13.58,24
D,Global,2016-08-20T11:59:00Z,D,10,24
D,Global,2016-08-21T11:59:00Z,D,15.42,24
D,Global,2016-08-22T11:59:00Z,D,6.78,24
D,Global,2016-08-23T11:59:00Z,D,15.71,24
D,Global,2016-08-24T11:59:00Z,D,5.96,24
D,Global,2016-08-25T11:59:00Z,D,1.82,24
D,Global,2016-08-26T11:59:00Z,D,6.74,24
D,Global,2016-08-27T11:59:00Z,D,14.74,24
D,Global,2016-08-28T11:59:00Z,D,16,24
D,Global,2016-08-29T11:59:00Z,D,2.61,24
D,Global,2016-08-30T11:59:00Z,D,14.53,24
D,Global,2016-08-31T11:59:00Z,D,17.5,24
D,Global,2016-09-01T11:59:00Z,D,14.43,24
D,Global,2016-09-02T11:59:00Z,D,8.99,24
D,Global,2016-09-03T11:59:00Z,D,9.72,24
D,Global,2016-09-04T11:59:00Z,D,6.71,24
D,Global,2016-09-05T11:59:00Z,D,12.72,24
D,Global,2016-09-06T11:59:00Z,D,15.71,24
D,Global,2016-09-07T11:59:00Z,D,11.52,24
D,Global,2016-09-08T11:59:00Z,D,9.8,24
D,Global,2016-09-09T11:59:00Z,D,17.54,24
D,Global,2016-09-10T11:59:00Z,D,12.57,24
D,Global,2016-09-11T11:59:00Z,D,19.8,24
D,Global,2016-09-12T11:59:00Z,D,15.76,24
D,Global,2016-09-13T11:59:00Z,D,14.97,24
D,Global,2016-09-14T11:59:00Z,D,7.85,24
D,Global,2016-09-15T11:59:00Z,D,12.83,24
D,Global,2016-09-16T11:59:00Z,D,4.54,24
D,Global,2016-09-17T11:59:00Z,D,2.56,24
D,Global,2016-09-18T11:59:00Z,D,9.55,24
D,Global,2016-09-19T11:59:00Z,D,15.19,24
D,Global,2016-09-20T11:59:00Z,D,10.96,24
