Frequency [D/H],Observation time UTC,Data Source (rainfall),Rainfall [mm],PERIOD [hrs],Deficit [mm],Runoff [mm],Data source (water balance)
D,2015-09-25T21:00:00Z,D,0,24,,,
D,2015-09-26T20:00:00Z,D,0,24,,,
D,2015-09-27T20:00:00Z,D,8.2,24,,,
D,2015-09-28T20:00:00Z,D,0,24,,,
D,2015-09-29T20:00:00Z,D,0,24,,,
D,2015-09-30T20:00:00Z,D,0,24,,,
D,2015-10-01T20:00:00Z,D,7.2,24,,,
D,2015-10-02T20:00:00Z,D,10,24,,,
D,2015-10-03T20:00:00Z,D,0,24,,,
D,2015-10-04T20:00:00Z,D,0,24,,,
D,2015-10-05T20:00:00Z,D,0,24,,,
D,2015-10-06T20:00:00Z,D,0,24,,,
D,2015-10-07T20:00:00Z,D,0,24,,,
D,2015-10-08T20:00:00Z,D,1.8,24,,,
D,2015-10-09T20:00:00Z,D,0,24,,,
D,2015-10-10T20:00:00Z,D,0,24,,,
D,2015-10-11T20:00:00Z,D,0,24,,,
D,2015-10-12T20:00:00Z,D,0,24,,,
D,2015-10-13T20:00:00Z,D,0.6,24,,,
D,2015-10-14T20:00:00Z,D,0,24,,,
D,2015-10-15T20:00:00Z,D,0,24,,,
D,2015-10-16T20:00:00Z,D,0,24,,,
D,2015-10-17T20:00:00Z,D,0,24,,,
D,2015-10-18T20:00:00Z,D,0,24,,,
D,2015-10-19T20:00:00Z,D,0,24,,,
D,2015-10-20T20:00:00Z,D,0,24,,,
D,2015-10-21T20:00:00Z,D,0,24,,,
D,2015-10-22T20:00:00Z,D,0,24,,,
D,2015-10-23T20:00:00Z,D,3,24,,,
D,2015-10-24T20:00:00Z,D,1.8,24,,,
D,2015-10-25T20:00:00Z,D,0,24,,,
D,2015-10-26T20:00:00Z,D,0,24,,,
D,2015-10-27T20:00:00Z,D,0,24,,,
D,2015-10-28T20:00:00Z,D,0,24,,,
D,2015-10-29T20:00:00Z,D,5.4,24,,,
D,2015-10-30T20:00:00Z,D,0,24,,,
D,2015-10-31T20:00:00Z,D,0,24,,,
D,2015-11-01T20:00:00Z,D,0,24,,,
D,2015-11-02T20:00:00Z,D,0,24,,,
D,2015-11-03T20:00:00Z,D,4,24,,,
D,2015-11-04T20:00:00Z,D,18.6,24,,,
D,2015-11-05T20:00:00Z,D,0,24,,,
D,2015-11-06T20:00:00Z,D,0,24,,,
D,2015-11-07T20:00:00Z,D,0,24,,,
D,2015-11-08T20:00:00Z,D,0,24,,,
D,2015-11-09T20:00:00Z,D,0,24,,,
D,2015-11-10T20:00:00Z,D,0,24,,,
D,2015-11-11T20:00:00Z,D,4.8,24,,,
D,2015-11-12T20:00:00Z,D,0,24,,,
D,2015-11-13T20:00:00Z,D,0,24,,,
D,2015-11-14T20:00:00Z,D,0,24,,,
D,2015-11-15T20:00:00Z,D,5.8,24,,,
D,2015-11-16T20:00:00Z,D,18.4,24,,,
D,2015-11-17T20:00:00Z,D,0,24,,,
D,2015-11-18T20:00:00Z,D,0,24,,,
D,2015-11-19T20:00:00Z,D,2,24,,,
D,2015-11-20T20:00:00Z,D,2.6,24,,,
D,2015-11-21T20:00:00Z,D,14.8,24,,,
D,2015-11-22T20:00:00Z,D,0,24,94,0,H
D,2015-11-23T20:00:00Z,D,0,24,97.2,0,H
D,2015-11-24T20:00:00Z,D,0,24,100.3,0,H
D,2015-11-25T20:00:00Z,D,0,24,103.2,0,H
D,2015-11-26T20:00:00Z,D,0,24,105.9,0,H
D,2015-11-27T20:00:00Z,D,22.4,24,86.1,0,H
D,2015-11-28T20:00:00Z,D,5.4,24,84.4,0,H
D,2015-11-29T20:00:00Z,D,0,24,88.2,0,H
D,2015-11-30T20:00:00Z,D,0,24,91.8,0,H
D,2015-12-01T20:00:00Z,D,0,24,95.6,0,H
D,2015-12-02T20:00:00Z,D,0,24,99.1,0,H
D,2015-12-03T20:00:00Z,D,0,24,102.4,0,H
D,2015-12-04T20:00:00Z,D,0,24,105.5,0,H
D,2015-12-05T20:00:00Z,D,0,24,108.4,0,H
D,2015-12-06T20:00:00Z,D,0,24,111.1,0,H
D,2015-12-07T20:00:00Z,D,0,24,113.6,0,H
D,2015-12-08T20:00:00Z,D,0,24,116,0,H
D,2015-12-09T20:00:00Z,D,0,24,118.2,0,H
D,2015-12-10T20:00:00Z,D,0,24,120.3,0,H
D,2015-12-11T20:00:00Z,D,2.6,24,119.6,0,H
D,2015-12-12T20:00:00Z,D,4.4,24,117.2,0,H
D,2015-12-13T20:00:00Z,D,3.4,24,115.9,0,H
D,2015-12-14T20:00:00Z,D,0,24,118.2,0,H
D,2015-12-15T20:00:00Z,D,0,24,120.2,0,H
D,2015-12-16T20:00:00Z,D,0,24,122.2,0,H
D,2015-12-17T20:00:00Z,D,0.4,24,123.6,0,H
D,2015-12-18T20:00:00Z,D,0.2,24,125.1,0,H
D,2015-12-19T20:00:00Z,D,0,24,126.7,0,H
D,2015-12-20T20:00:00Z,D,0,24,128.2,0,H
D,2015-12-21T20:00:00Z,D,0,24,129.7,0,H
D,2015-12-22T20:00:00Z,D,0,24,131,0,H
D,2015-12-23T20:00:00Z,D,2.4,24,129.8,0,H
D,2015-12-24T20:00:00Z,D,4.4,24,126.7,0,H
D,2015-12-25T20:00:00Z,D,0.8,24,127.5,0,H
D,2015-12-26T20:00:00Z,D,0,24,128.9,0,H
D,2015-12-27T20:00:00Z,D,2.2,24,128.1,0,H
D,2015-12-28T20:00:00Z,D,14,24,115.5,0,H
D,2015-12-29T20:00:00Z,D,0,24,117.8,0,H
D,2015-12-30T20:00:00Z,D,0,24,119.9,0,H
D,2015-12-31T20:00:00Z,D,0,24,121.8,0,H
D,2016-01-01T20:00:00Z,D,6.4,24,117.1,0,H
D,2016-01-02T20:00:00Z,D,20.4,24,98.6,0,H
D,2016-01-03T20:00:00Z,D,6.4,24,95.2,0,H
D,2016-01-04T20:00:00Z,D,0,24,98.4,0,H
D,2016-01-05T20:00:00Z,D,0,24,101.5,0,H
D,2016-01-06T20:00:00Z,D,0,24,104.3,0,H
D,2016-01-07T20:00:00Z,D,1.2,24,105.8,0,H
D,2016-01-08T20:00:00Z,D,23.4,24,85,0,H
D,2016-01-09T20:00:00Z,D,0,24,88.8,0,H
D,2016-01-10T20:00:00Z,D,0.8,24,91.6,0,H
D,2016-01-11T20:00:00Z,D,5,24,90,0,H
D,2016-01-12T20:00:00Z,D,10.8,24,82.8,0,H
D,2016-01-13T20:00:00Z,D,0,24,86.7,0,H
D,2016-01-14T20:00:00Z,D,0,24,90.4,0,H
D,2016-01-15T20:00:00Z,D,0,24,93.9,0,H
D,2016-01-16T20:00:00Z,D,0,24,97.2,0,H
D,2016-01-17T20:00:00Z,D,3.8,24,96.5,0,H
D,2016-01-18T20:00:00Z,D,51.8,24,47.8,0,H
