Observation time UTC,Air temperature (dry bulb) [Deg C],Wet bulb temperature [Deg C],Dew point temperature [Deg C],Relative humidity [%],Data Source (dry bulb),Data Source (wet bulb)
2015-09-24T16:00:00Z,9,7.1,4.8,75,H,H
2015-09-24T17:00:00Z,8.5,6.6,4.1,74,H,H
2015-09-24T18:00:00Z,8,6.3,4,76,H,H
2015-09-24T19:00:00Z,8.4,6.6,4.3,75,H,H
2015-09-24T20:00:00Z,10.2,7.8,4.8,69,H,H
2015-09-24T21:00:00Z,11.3,8.7,5.6,68,H,H
2015-09-24T22:00:00Z,11.8,9.2,6.3,69,H,H
2015-09-24T23:00:00Z,13,9.4,5.2,59,H,H
2015-09-25T00:00:00Z,13.1,9.3,4.8,57,H,H
2015-09-25T01:00:00Z,15.1,10,4.2,48,H,H
2015-09-25T02:00:00Z,15.3,10.3,4.7,49,H,H
2015-09-25T03:00:00Z,14.3,9.9,4.9,53,H,H
2015-09-25T04:00:00Z,13.6,9.8,5.5,58,H,H
2015-09-25T05:00:00Z,12.6,8.9,4.6,58,H,H
2015-09-25T06:00:00Z,11.6,8.3,4.4,61,H,H
2015-09-25T07:00:00Z,9.4,7.2,4.4,71,H,H
2015-09-25T08:00:00Z,8.8,6.6,3.6,70,H,H
2015-09-25T09:00:00Z,7.6,5.8,3.5,75,H,H
2015-09-25T10:00:00Z,6.5,5,3,78,H,H
2015-09-25T11:00:00Z,6.3,4.6,2.2,75,H,H
2015-09-25T12:00:00Z,7.1,4.9,1.6,68,H,H
2015-09-25T13:00:00Z,5.8,3.9,1,71,H,H
2015-09-25T14:00:00Z,4.8,3.4,1.3,78,H,H
2015-09-25T15:00:00Z,4.5,3.3,1.4,80,H,H
2015-09-25T16:00:00Z,4.6,3.4,1.5,80,H,H
2015-09-25T17:00:00Z,3.6,2.5,0.8,82,H,H
2015-09-25T18:00:00Z,4.3,3.2,1.4,81,H,H
2015-09-25T19:00:00Z,7,4.9,1.9,70,H,H
2015-09-25T20:00:00Z,9.4,6.8,3.4,66,H,H
2015-09-25T21:00:00Z,10.8,7.6,3.6,61,H,H
2015-09-25T22:00:00Z,12.5,8.8,4.5,58,H,H
2015-09-25T23:00:00Z,13.2,9.2,4.4,55,H,H
2015-09-26T00:00:00Z,14,9.8,5.1,55,H,H
2015-09-26T01:00:00Z,14.1,9.5,4.1,51,H,H
2015-09-26T02:00:00Z,14.3,10.1,5.4,55,H,H
2015-09-26T03:00:00Z,13,8.9,3.9,54,H,H
2015-09-26T04:00:00Z,12.8,9,4.5,57,H,H
