Observation time UTC,Frequency [D/H],Maximum Temperature [Deg C],Data Source (max temp),Minimum Temperature [Deg C],Data Source (min temp),Grass Temperature [Deg C],Data Source (grass temp),Period (max temp),Period (min temp),Period (grass temp),Mean Temperature [Deg C],Period (mean temp),Data Source (mean temp),Mean Relative Humidity [percent]
2015-09-25T21:00:00Z,D,15.7,D,3.4,D,-2.7,D,24,24,24,9.6,24,D,
2015-09-26T20:00:00Z,D,15.3,D,2.8,D,-1.5,D,24,24,24,9.1,24,D,
2015-09-27T20:00:00Z,D,15.4,D,5.2,D,0.8,D,24,24,24,10.3,24,D,
2015-09-28T20:00:00Z,D,13.2,D,3.3,D,-1,D,24,24,24,8.3,24,D,
2015-09-29T20:00:00Z,D,15.7,D,4.6,D,-0.6,D,24,24,24,10.2,24,D,
2015-09-30T20:00:00Z,D,14.5,D,7.2,D,4,D,24,24,24,10.9,24,D,
2015-10-01T20:00:00Z,D,17.5,D,10.9,D,8,D,24,24,24,14.2,24,D,
2015-10-02T20:00:00Z,D,17.5,D,8,D,5.7,D,24,24,24,12.8,24,D,
2015-10-03T20:00:00Z,D,16.7,D,6.1,D,1,D,24,24,24,11.4,24,D,
2015-10-04T20:00:00Z,D,17,D,11.2,D,9.9,D,24,24,24,14.1,24,D,
2015-10-05T20:00:00Z,D,19.3,D,5.9,D,0.9,D,24,24,24,12.6,24,D,
2015-10-06T20:00:00Z,D,20.3,D,6.3,D,1.8,D,24,24,24,13.3,24,D,
2015-10-07T20:00:00Z,D,21.2,D,8.4,D,6.8,D,24,24,24,14.8,24,D,
2015-10-08T20:00:00Z,D,16.7,D,1.8,D,-1.3,D,24,24,24,9.3,24,D,
2015-10-09T20:00:00Z,D,16,D,3,D,-0.9,D,24,24,24,9.5,24,D,
2015-10-10T20:00:00Z,D,16.5,D,3.8,D,-0.2,D,24,24,24,10.2,24,D,
2015-10-11T20:00:00Z,D,17.8,D,8.2,D,4.7,D,24,24,24,13,24,D,
2015-10-12T20:00:00Z,D,18.2,D,9.2,D,2.6,D,24,24,24,13.7,24,D,
2015-10-13T20:00:00Z,D,17.6,D,8.9,D,6,D,24,24,24,13.3,24,D,
2015-10-14T20:00:00Z,D,17.7,D,6.8,D,1,D,24,24,24,12.3,24,D,
2015-10-15T20:00:00Z,D,18.7,D,7,D,4.2,D,24,24,24,12.9,24,D,
2015-10-16T20:00:00Z,D,18.2,D,10.2,D,8.7,D,24,24,24,14.2,24,D,
2015-10-17T20:00:00Z,D,18,D,7,D,2.5,D,24,24,24,12.5,24,D,
2015-10-18T20:00:00Z,D,17.7,D,8,D,2,D,24,24,24,12.9,24,D,
2015-10-19T20:00:00Z,D,16,D,2.3,D,-4.1,D,24,24,24,9.2,24,D,
2015-10-20T20:00:00Z,D,17.5,D,5.2,D,-1.9,D,24,24,24,11.4,24,D,
2015-10-21T20:00:00Z,D,17.6,D,10.8,D,8.4,D,24,24,24,14.2,24,D,
2015-10-22T20:00:00Z,D,17.4,D,12.9,D,13,D,24,24,24,15.2,24,D,
2015-10-23T20:00:00Z,D,20,D,11.9,D,6.1,D,24,24,24,16,24,D,
2015-10-24T20:00:00Z,D,17.3,D,8.8,D,5.2,D,24,24,24,13.1,24,D,
2015-10-25T20:00:00Z,D,21.2,D,6.9,D,-0.4,D,24,24,24,14.1,24,D,
2015-10-26T20:00:00Z,D,18.8,D,7.5,D,2.8,D,24,24,24,13.2,24,D,
2015-10-27T20:00:00Z,D,20.1,D,10.4,D,5.5,D,24,24,24,15.3,24,D,
2015-10-28T20:00:00Z,D,18.6,D,9.5,D,4.7,D,24,24,24,14.1,24,D,
2015-10-29T20:00:00Z,D,16.4,D,8.4,D,7.3,D,24,24,24,12.4,24,D,
2015-10-30T20:00:00Z,D,14.9,D,4.3,D,-0.5,D,24,24,24,9.6,24,D,
2015-10-31T20:00:00Z,D,17.1,D,4.5,D,-2.2,D,24,24,24,10.8,24,D,
2015-11-01T20:00:00Z,D,19.1,D,8,D,3,D,24,24,24,13.6,24,D,
2015-11-02T20:00:00Z,D,18.2,D,7.4,D,1,D,24,24,24,12.8,24,D,
2015-11-03T20:00:00Z,D,17.2,D,10.8,D,9.3,D,24,24,24,14,24,D,
2015-11-04T20:00:00Z,D,14.4,D,6.7,D,4.9,D,24,24,24,10.6,24,D,
2015-11-05T20:00:00Z,D,14.4,D,4.9,D,0.4,D,24,24,24,9.7,24,D,
2015-11-06T20:00:00Z,D,20.2,D,6.8,D,2.5,D,24,24,24,13.5,24,D,
2015-11-07T20:00:00Z,D,23.7,D,7.5,D,2,D,24,24,24,15.6,24,D,
2015-11-08T20:00:00Z,D,24.4,D,8.3,D,4.3,D,24,24,24,16.4,24,D,
2015-11-09T20:00:00Z,D,26,D,12.3,D,7.6,D,24,24,24,19.2,24,D,
2015-11-10T20:00:00Z,D,22.3,D,10.8,D,4.8,D,24,24,24,16.6,24,D,
2015-11-11T20:00:00Z,D,22,D,9.6,D,9.5,D,24,24,24,15.8,24,D,
2015-11-12T20:00:00Z,D,15.9,D,4.9,D,0,D,24,24,24,10.4,24,D,
2015-11-13T20:00:00Z,D,15.9,D,0.9,D,-5.1,D,24,24,24,8.4,24,D,
2015-11-14T20:00:00Z,D,18.2,D,9.2,D,2.8,D,24,24,24,13.7,24,D,
2015-11-15T20:00:00Z,D,16.2,D,12.2,D,11.7,D,24,24,24,14.2,24,D,
2015-11-16T20:00:00Z,D,15.8,D,8.1,D,4.1,D,24,24,24,12,24,D,
2015-11-17T20:00:00Z,D,18.9,D,9.4,D,4.3,D,24,24,24,14.2,24,D,
2015-11-18T20:00:00Z,D,21.2,D,7.1,D,3.6,D,24,24,24,14.2,24,D,
2015-11-19T20:00:00Z,D,17.5,D,10.6,D,10.4,D,24,24,24,14.1,24,D,
2015-11-20T20:00:00Z,D,16.7,D,12.1,D,10.7,D,24,24,24,14.4,24,D,
2015-11-21T20:00:00Z,D,16,D,11.8,D,11.5,D,24,24,24,13.9,24,D,
2015-11-22T20:00:00Z,D,20,D,6.9,D,1.4,D,24,24,24,13.5,24,D,
2015-11-23T20:00:00Z,D,21.1,D,5.6,D,-1,D,24,24,24,13.4,24,D,
2015-11-24T20:00:00Z,D,20.9,D,8.2,D,2.5,D,24,24,24,14.6,24,D,
2015-11-25T20:00:00Z,D,22.8,D,11.7,D,6,D,24,24,24,17.3,24,D,
2015-11-26T20:00:00Z,D,25,D,13.8,D,9.1,D,24,24,24,19.4,24,D,
2015-11-27T20:00:00Z,D,23.4,D,16.7,D,16.2,D,24,24,24,20.1,24,D,
2015-11-28T20:00:00Z,D,22.8,D,6.6,D,0.3,D,24,24,24,14.7,24,D,
2015-11-29T20:00:00Z,D,23.3,D,9.6,D,4.6,D,24,24,24,16.5,24,D,
2015-11-30T20:00:00Z,D,21.7,D,14.3,D,13.9,D,24,24,24,18,24,D,
2015-12-01T20:00:00Z,D,20.4,D,13.9,D,13.2,D,24,24,24,17.2,24,D,
2015-12-02T20:00:00Z,D,15.6,D,12.9,D,12.6,D,24,24,24,14.3,24,D,
2015-12-03T20:00:00Z,D,20.6,D,12,D,9.3,D,24,24,24,16.3,24,D,
2015-12-04T20:00:00Z,D,22,D,6.2,D,-0.4,D,24,24,24,14.1,24,D,
2015-12-05T20:00:00Z,D,20,D,12,D,9,D,24,24,24,16,24,D,
2015-12-06T20:00:00Z,D,19.9,D,13,D,12.4,D,24,24,24,16.5,24,D,
2015-12-07T20:00:00Z,D,20.6,D,7.9,D,2.6,D,24,24,24,14.3,24,D,
2015-12-08T20:00:00Z,D,18.7,D,5.9,D,-0.7,D,24,24,24,12.3,24,D,
2015-12-09T20:00:00Z,D,21.6,D,8.7,D,4.3,D,24,24,24,15.2,24,D,
2015-12-10T20:00:00Z,D,20.9,D,12.7,D,10.7,D,24,24,24,16.8,24,D,
2015-12-11T20:00:00Z,D,26.2,D,14.9,D,14.6,D,24,24,24,20.6,24,D,
2015-12-12T20:00:00Z,D,23.3,D,15.5,D,12.9,D,24,24,24,19.4,24,D,
2015-12-13T20:00:00Z,D,20.5,D,7.1,D,2.5,D,24,24,24,13.8,24,D,
2015-12-14T20:00:00Z,D,20.6,D,6.7,D,0.1,D,24,24,24,13.7,24,D,
2015-12-15T20:00:00Z,D,21.4,D,11.5,D,6.4,D,24,24,24,16.5,24,D,
2015-12-16T20:00:00Z,D,19.8,D,7.2,D,1.5,D,24,24,24,13.5,24,D,
2015-12-17T20:00:00Z,D,18.4,D,7.5,D,2.9,D,24,24,24,13,24,D,
2015-12-18T20:00:00Z,D,20.2,D,7.6,D,0.9,D,24,24,24,13.9,24,D,
2015-12-19T20:00:00Z,D,24.6,D,8.3,D,1.8,D,24,24,24,16.5,24,D,
2015-12-20T20:00:00Z,D,24.9,D,10,D,4.3,D,24,24,24,17.5,24,D,
2015-12-21T20:00:00Z,D,26.9,D,11.9,D,5.6,D,24,24,24,19.4,24,D,
2015-12-22T20:00:00Z,D,25.3,D,13.9,D,12.6,D,24,24,24,19.6,24,D,
2015-12-23T20:00:00Z,D,21.9,D,11.1,D,11.1,D,24,24,24,16.5,24,D,
2015-12-24T20:00:00Z,D,16.2,D,12.8,D,12.8,D,24,24,24,14.5,24,D,
2015-12-25T20:00:00Z,D,23.5,D,12.6,D,8.4,D,24,24,24,18.1,24,D,
2015-12-26T20:00:00Z,D,27,D,12.6,D,7.5,D,24,24,24,19.8,24,D,
2015-12-27T20:00:00Z,D,27.4,D,14.6,D,11.3,D,24,24,24,21,24,D,
2015-12-28T20:00:00Z,D,28.3,D,11.3,D,8.5,D,24,24,24,19.8,24,D,
2015-12-29T20:00:00Z,D,26.6,D,8.7,D,2.3,D,24,24,24,17.7,24,D,
2015-12-30T20:00:00Z,D,25.9,D,16.1,D,12.9,D,24,24,24,21,24,D,
2015-12-31T20:00:00Z,D,24.2,D,11.2,D,5.8,D,24,24,24,17.7,24,D,
2016-01-01T20:00:00Z,D,18.6,D,14.7,D,14.2,D,24,24,24,16.7,24,D,
2016-01-02T20:00:00Z,D,19,D,14,D,13.8,D,24,24,24,16.5,24,D,
2016-01-03T20:00:00Z,D,23.8,D,12.6,D,12.2,D,24,24,24,18.2,24,D,
2016-01-04T20:00:00Z,D,19.6,D,4.7,D,-0.7,D,24,24,24,12.2,24,D,
2016-01-05T20:00:00Z,D,19.4,D,7.4,D,1.3,D,24,24,24,13.4,24,D,
2016-01-06T20:00:00Z,D,19.9,D,13.6,D,11.5,D,24,24,24,16.8,24,D,
2016-01-07T20:00:00Z,D,19.9,D,15,D,13.8,D,24,24,24,17.5,24,D,
2016-01-08T20:00:00Z,D,20.4,D,17.4,D,16,D,24,24,24,18.9,24,D,
2016-01-09T20:00:00Z,D,25.7,D,10.9,D,6.3,D,24,24,24,18.3,24,D,
2016-01-10T20:00:00Z,D,23.5,D,13.3,D,8.8,D,24,24,24,18.4,24,D,
2016-01-11T20:00:00Z,D,19.2,D,14.6,D,14.2,D,24,24,24,16.9,24,D,
2016-01-12T20:00:00Z,D,19.5,D,10.8,D,7.9,D,24,24,24,15.2,24,D,
2016-01-13T20:00:00Z,D,26.8,D,14.4,D,10.3,D,24,24,24,20.6,24,D,
2016-01-14T20:00:00Z,D,22.8,D,15.7,D,15.2,D,24,24,24,19.3,24,D,
2016-01-15T20:00:00Z,D,23.8,D,12.4,D,8.2,D,24,24,24,18.1,24,D,
2016-01-16T20:00:00Z,D,25.4,D,11.3,D,5.8,D,24,24,24,18.4,24,D,
2016-01-17T20:00:00Z,D,25.2,D,17.3,D,16.2,D,24,24,24,21.3,24,D,
2016-01-18T20:00:00Z,D,20.8,D,17.1,D,18.2,D,24,24,24,19,24,D,
2016-01-19T20:00:00Z,D,23.9,D,13.1,D,9,D,24,24,24,18.5,24,D,
2016-01-20T20:00:00Z,D,23.9,D,11.8,D,6.3,D,24,24,24,17.9,24,D,
2016-01-21T20:00:00Z,D,26.6,D,12.8,D,9.2,D,24,24,24,19.7,24,D,
2016-01-22T20:00:00Z,D,26.3,D,12.6,D,7,D,24,24,24,19.5,24,D,
2016-01-23T20:00:00Z,D,29.1,D,14.9,D,12.2,D,24,24,24,22,24,D,
2016-01-24T20:00:00Z,D,26.1,D,17.7,D,17.3,D,24,24,24,21.9,24,D,
2016-01-25T20:00:00Z,D,25.6,D,18.3,D,17.1,D,24,24,24,22,24,D,
2016-01-26T20:00:00Z,D,25.2,D,19.5,D,19.4,D,24,24,24,22.4,24,D,
2016-01-27T20:00:00Z,D,25.4,D,16.9,D,14.5,D,24,24,24,21.2,24,D,
2016-01-28T20:00:00Z,D,25.7,D,15.8,D,12.2,D,24,24,24,20.8,24,D,
2016-01-29T20:00:00Z,D,25,D,15.3,D,12.7,D,24,24,24,20.2,24,D,
2016-01-30T20:00:00Z,D,28.1,D,17.3,D,13.8,D,24,24,24,22.7,24,D,
2016-01-31T20:00:00Z,D,23.9,D,15.7,D,15.9,D,24,24,24,19.8,24,D,
2016-02-01T20:00:00Z,D,21.6,D,14.9,D,10,D,24,24,24,18.3,24,D,
2016-02-02T20:00:00Z,D,26.9,D,14.9,D,8.7,D,24,24,24,20.9,24,D,
2016-02-03T20:00:00Z,D,24.8,D,16.7,D,14.8,D,24,24,24,20.8,24,D,
2016-02-04T20:00:00Z,D,21.8,D,16.6,D,15.1,D,24,24,24,19.2,24,D,
2016-02-05T20:00:00Z,D,20.7,D,17,D,18,D,24,24,24,18.9,24,D,
2016-02-06T20:00:00Z,D,24.4,D,17,D,13.9,D,24,24,24,20.7,24,D,
2016-02-07T20:00:00Z,D,25.7,D,17,D,16.9,D,24,24,24,21.4,24,D,
2016-02-08T20:00:00Z,D,22.4,D,15,D,15.1,D,24,24,24,18.7,24,D,
2016-02-09T20:00:00Z,D,20.4,D,14.9,D,10.1,D,24,24,24,17.7,24,D,
2016-02-10T20:00:00Z,D,24.8,D,17.3,D,16.2,D,24,24,24,21.1,24,D,
2016-02-11T20:00:00Z,D,25.3,D,17.4,D,15.3,D,24,24,24,21.4,24,D,
2016-02-12T20:00:00Z,D,27.5,D,18.9,D,17.8,D,24,24,24,23.2,24,D,
2016-02-13T20:00:00Z,D,25.4,D,17.5,D,15.4,D,24,24,24,21.5,24,D,
2016-02-14T20:00:00Z,D,23.6,D,16.5,D,12.5,D,24,24,24,20.1,24,D,
2016-02-15T20:00:00Z,D,22.2,D,17.1,D,15.9,D,24,24,24,19.7,24,D,
2016-02-16T20:00:00Z,D,21.6,D,16.6,D,15.5,D,24,24,24,19.1,24,D,
2016-02-17T20:00:00Z,D,19.7,D,17.2,D,16.5,D,24,24,24,18.5,24,D,
2016-02-18T20:00:00Z,D,21.7,D,16.8,D,15.6,D,24,24,24,19.3,24,D,
2016-02-19T20:00:00Z,D,23.6,D,9.8,D,5.1,D,24,24,24,16.7,24,D,
2016-02-20T20:00:00Z,D,24.4,D,12.3,D,7.3,D,24,24,24,18.4,24,D,
2016-02-21T20:00:00Z,D,26.9,D,14.4,D,9.4,D,24,24,24,20.7,24,D,
2016-02-22T20:00:00Z,D,24.4,D,16,D,15.7,D,24,24,24,20.2,24,D,
2016-02-23T20:00:00Z,D,22,D,12.4,D,6.8,D,24,24,24,17.2,24,D,
2016-02-24T20:00:00Z,D,24.7,D,9,D,2.5,D,24,24,24,16.9,24,D,
2016-02-25T20:00:00Z,D,25.4,D,14.8,D,10.2,D,24,24,24,20.1,24,D,
2016-02-26T20:00:00Z,D,26.2,D,11.3,D,6.3,D,24,24,24,18.8,24,D,
2016-02-27T20:00:00Z,D,26.6,D,16.1,D,17.9,D,24,24,24,21.4,24,D,
2016-02-28T20:00:00Z,D,26.5,D,17.6,D,14.1,D,24,24,24,22.1,24,D,
2016-02-29T20:00:00Z,D,21.8,D,14.6,D,15.3,D,24,24,24,18.2,24,D,
2016-03-01T20:00:00Z,D,17.9,D,10.5,D,7.2,D,24,24,24,14.2,24,D,
2016-03-02T20:00:00Z,D,22.3,D,12,D,10.7,D,24,24,24,17.2,24,D,
2016-03-03T20:00:00Z,D,21.4,D,12.5,D,9.3,D,24,24,24,17,24,D,
2016-03-04T20:00:00Z,D,23.9,D,12.3,D,8.2,D,24,24,24,18.1,24,D,
2016-03-05T20:00:00Z,D,24.8,D,11,D,4.9,D,24,24,24,17.9,24,D,
2016-03-06T20:00:00Z,D,23,D,13.7,D,9.7,D,24,24,24,18.4,24,D,
2016-03-07T20:00:00Z,D,26,D,15.4,D,10.3,D,24,24,24,20.7,24,D,
2016-03-08T20:00:00Z,D,25.2,D,13.3,D,7.5,D,24,24,24,19.3,24,D,
2016-03-09T20:00:00Z,D,24.6,D,13.3,D,8.5,D,24,24,24,19,24,D,
2016-03-10T20:00:00Z,D,23,D,15.2,D,10.2,D,24,24,24,19.1,24,D,
2016-03-11T20:00:00Z,D,21.3,D,6.1,D,-0.2,D,24,24,24,13.7,24,D,
2016-03-12T20:00:00Z,D,19.1,D,5.9,D,-0.4,D,24,24,24,12.5,24,D,
2016-03-13T20:00:00Z,D,22.5,D,10.8,D,4.6,D,24,24,24,16.7,24,D,
2016-03-14T20:00:00Z,D,21.5,D,12,D,7.3,D,24,24,24,16.8,24,D,
2016-03-15T20:00:00Z,D,21.1,D,14.6,D,10.3,D,24,24,24,17.9,24,D,
2016-03-16T20:00:00Z,D,24,D,13.8,D,13.9,D,24,24,24,18.9,24,D,
2016-03-17T20:00:00Z,D,18.6,D,15.1,D,15.4,D,24,24,24,16.9,24,D,
2016-03-18T20:00:00Z,D,19.9,D,14.4,D,12.9,D,24,24,24,17.2,24,D,
2016-03-19T20:00:00Z,D,19.1,D,14.1,D,10.1,D,24,24,24,16.6,24,D,
2016-03-20T20:00:00Z,D,19.5,D,14.6,D,10.8,D,24,24,24,17.1,24,D,
2016-03-21T20:00:00Z,D,21.3,D,16.4,D,14.2,D,24,24,24,18.9,24,D,
2016-03-22T20:00:00Z,D,21,D,16.6,D,14,D,24,24,24,18.8,24,D,
2016-03-23T20:00:00Z,D,19.7,D,17.7,D,17.1,D,24,24,24,18.7,24,D,
2016-03-24T20:00:00Z,D,20,D,17,D,17.4,D,24,24,24,18.5,24,D,
2016-03-25T20:00:00Z,D,22,D,15.8,D,14.6,D,24,24,24,18.9,24,D,
2016-03-26T20:00:00Z,D,22.7,D,12.5,D,9.8,D,24,24,24,17.6,24,D,
2016-03-27T20:00:00Z,D,23,D,10.2,D,5.6,D,24,24,24,16.6,24,D,
2016-03-28T20:00:00Z,D,22.7,D,10.2,D,5.3,D,24,24,24,16.5,24,D,
2016-03-29T20:00:00Z,D,22.3,D,11,D,5,D,24,24,24,16.7,24,D,
2016-03-30T20:00:00Z,D,21.1,D,7,D,1.2,D,24,24,24,14.1,24,D,
2016-03-31T20:00:00Z,D,20.8,D,10.6,D,7.9,D,24,24,24,15.7,24,D,
2016-04-01T20:00:00Z,D,17.6,D,14.4,D,14.6,D,24,24,24,16,24,D,
2016-04-02T21:00:00Z,D,21.9,D,15.4,D,13.2,D,24,24,24,18.7,24,D,
2016-04-03T21:00:00Z,D,22.5,D,14.7,D,12.6,D,24,24,24,18.6,24,D,
2016-04-04T21:00:00Z,D,21.8,D,11.7,D,10.6,D,24,24,24,16.8,24,D,
2016-04-05T21:00:00Z,D,18.3,D,6.3,D,1.5,D,24,24,24,12.3,24,D,
2016-04-06T21:00:00Z,D,18.7,D,6,D,1.5,D,24,24,24,12.4,24,D,
2016-04-07T21:00:00Z,D,19.2,D,9.2,D,4.7,D,24,24,24,14.2,24,D,
2016-04-08T21:00:00Z,D,20.9,D,9.9,D,5.8,D,24,24,24,15.4,24,D,
2016-04-09T21:00:00Z,D,19.7,D,14,D,14.5,D,24,24,24,16.9,24,D,
2016-04-10T21:00:00Z,D,20,D,13.8,D,14.5,D,24,24,24,16.9,24,D,
2016-04-11T21:00:00Z,D,19.3,D,9,D,5.6,D,24,24,24,14.2,24,D,
2016-04-12T21:00:00Z,D,20.7,D,14.8,D,14.3,D,24,24,24,17.8,24,D,
2016-04-13T21:00:00Z,D,19.3,D,7.5,D,3.4,D,24,24,24,13.4,24,D,
2016-04-14T21:00:00Z,D,18.5,D,3.2,D,1,D,24,24,24,10.9,24,D,
2016-04-15T21:00:00Z,D,18.7,D,5.5,D,1.5,D,24,24,24,12.1,24,D,
2016-04-16T21:00:00Z,D,17.4,D,9.7,D,7.5,D,24,24,24,13.6,24,D,
2016-04-17T21:00:00Z,D,16.8,D,13.1,D,14,D,24,24,24,15,24,D,
2016-04-18T21:00:00Z,D,20.6,D,8.4,D,6,D,24,24,24,14.5,24,D,
2016-04-19T21:00:00Z,D,19.1,D,7,D,4.7,D,24,24,24,13.1,24,D,
